Altium Designer Pick and Place Locations
K:\Work\KNIVD\Z20X\main\electronics\Project Outputs\Pick Place for PCB.txt

========================================================================================================================
File Design Information:

Date:       20/05/21
Time:       10:46
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment           Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation Description                                                      
R41        10k               TopLayer    RES1016-660X250            141.0000     -11.7500     360      Resistor                                                         
R40        10k               TopLayer    RES1016-660X250            141.0000     -8.2500      360      Resistor                                                         
R39        10k               TopLayer    RES1016-660X250            107.5000     -11.7500     180      Resistor                                                         
R38        10k               TopLayer    RES1016-660X250            107.5000     -8.2500      180      Resistor                                                         
R36        220R              TopLayer    RES1016-660X250            24.0000      -10.2500     360      Resistor                                                         
LED1       550-3509F         TopLayer    LED_DIALIGHT_550-3509F     12.0000      -22.7500     360      "Bicolor Red/Green  LED 1 Anode Red 2 Com Cathode 3 Anode Green" 
U1         W25Q32JVDAIQ      TopLayer    DIP8-300                   167.0000     -13.5000     270      "3.3V Uniform Sector 64Mbit Dual and Quad Serial Flash"          
R1         10k               TopLayer    RES1016-660X250            167.0000     -6.2500      360      Resistor                                                         
C1         100n              TopLayer    CAPRR508-350X500X500       174.7500     -13.5000     90       Capacitor                                                        
C21        10u               TopLayer    CAPRR508-350X500X500       20.7500      -87.2500     180      Capacitor                                                        
D1         BAT81S            TopLayer    DO-35                      150.0000     -81.0000     270      "Schottky diode"                                                 
R16        2k2               TopLayer    RES1016-660X250            153.0000     -103.0000    360      Resistor                                                         
J1         ""                TopLayer    DIL72-M-R                  90.5000      -83.0000     360      "Dual row, 72-way connector"                                     
Y3         9B-3.579545MAAJ-B TopLayer    XTAL_HC-49/U               46.5000      -18.5000     360      "Crystal Resonator"                                              
Y2         AB26T-32.768KHZ   TopLayer    CRYSTAL_32768Hz            142.6499     -42.8251     270      "Crystal Resonator"                                              
Y1         9B-18.432MAAJ-B   TopLayer    XTAL_HC-49/U               124.1499     -14.5001     180      "Crystal Resonator"                                              
